Chemical formula,Tolerance factor,Lowest distortion,Stability [eV/atom],Label
InNdO3,0.69,cubic,1.14,0
InNiO3,0.82,cubic,0.56,0
InNpO3,0.73,cubic,0.60,0
InOsO3,0.84,rhombohedral,0.33,0
InPaO3,0.71,cubic,-0.01,1
InPbO3,0.69,cubic,0.78,0
InPdO3,0.76,cubic,0.60,0
InPmO3,0.69,cubic,1.12,0
InPrO3,0.71,cubic,1.17,0
InPtO3,0.79,cubic,0.70,0
InPuO3,0.74,cubic,0.60,0
InRbO3,0.56,orthorhombic,0.44,0
InReO3,0.83,cubic,0.33,0
InRhO3,0.82,cubic,0.59,0
InRuO3,0.84,orthorhombic,0.19,0
InSbO3,0.82,tetragonal,0.45,0
InScO3,0.76,orthorhombic,0.11,0
InSiO3,0.92,cubic,0.55,0
InSmO3,0.69,cubic,1.11,0
InSnO3,0.79,orthorhombic,0.24,0
InSrO3,0.63,orthorhombic,0.28,0
InTaO3,0.81,tetragonal,0.16,0
InTbO3,0.73,cubic,1.06,0
InTcO3,0.82,tetragonal,0.35,0
InTeO3,0.69,cubic,0.55,0
InThO3,0.70,cubic,0.75,0
InTiO3,0.82,orthorhombic,0.19,0
InTlO3,0.63,orthorhombic,0.14,0
InTmO3,0.69,cubic,0.98,0
InUO3,0.76,cubic,0.24,0
InVO3,0.83,rhombohedral,0.11,0
InWO3,0.81,cubic,0.16,0
InYO3,0.71,cubic,1.05,0
InYbO3,0.70,cubic,1.16,0
InZnO3,0.77,cubic,0.76,0
InZrO3,0.78,rhombohedral,0.30,0
IrAcO3,0.57,rhombohedral,0.38,0
IrAgO3,0.68,cubic,1.69,0
IrAlO3,0.76,cubic,1.08,0
IrAsO3,0.74,cubic,1.31,0
IrAuO3,0.61,cubic,1.70,0
IrBO3,0.88,cubic,1.66,0
IrBaO3,0.52,rhombohedral,0.24,0
IrBeO3,0.78,cubic,1.25,0
IrBiO3,0.62,cubic,1.55,0
IrCaO3,0.60,rhombohedral,0.34,0
IrCdO3,0.61,cubic,1.91,0
IrCeO3,0.61,cubic,1.98,0
IrCoO3,0.73,cubic,1.31,0
IrCrO3,0.73,cubic,1.24,0
IrCsO3,0.46,rhombohedral,0.08,0
IrCuO3,0.76,cubic,1.39,0
IrDyO3,0.64,cubic,1.76,0
IrErO3,0.64,cubic,1.71,0
IrEuO3,0.62,rhombohedral,0.32,0
IrFeO3,0.72,cubic,1.23,0
IrGaO3,0.73,cubic,1.31,0
IrGdO3,0.63,cubic,1.81,0
IrGeO3,0.71,cubic,1.19,0
IrHfO3,0.70,cubic,1.24,0
IrHgO3,0.57,cubic,1.92,0
IrHoO3,0.64,cubic,1.74,0
IrInO3,0.67,cubic,1.61,0
IrKO3,0.51,rhombohedral,0.19,0
IrLaO3,0.60,cubic,1.95,0
IrLiO3,0.66,orthorhombic,0.30,0
IrLuO3,0.65,cubic,1.63,0
IrMgO3,0.68,cubic,1.52,0
IrMnO3,0.72,cubic,1.23,0
IrMoO3,0.70,cubic,1.18,0
IrNaO3,0.59,rhombohedral,0.25,0
IrNbO3,0.69,cubic,1.16,0
IrNdO3,0.62,cubic,1.92,0
IrNiO3,0.74,cubic,1.39,0
IrNpO3,0.63,cubic,1.56,0
IrOsO3,0.73,cubic,1.20,0
IrPaO3,0.62,cubic,1.03,0
IrPbO3,0.60,rhombohedral,0.44,0
IrPdO3,0.68,cubic,1.53,0
IrPmO3,0.60,cubic,1.89,0
IrPrO3,0.61,cubic,1.97,0
IrPtO3,0.69,cubic,1.53,0
IrPuO3,0.64,cubic,1.43,0
IrRbO3,0.49,rhombohedral,0.15,0
IrReO3,0.72,cubic,1.31,0
IrRhO3,0.71,cubic,1.35,0
IrRuO3,0.71,cubic,1.25,0
IrSbO3,0.69,cubic,1.23,0
IrScO3,0.68,cubic,1.46,0
IrSiO3,0.80,cubic,1.30,0
IrSmO3,0.62,cubic,1.87,0
IrSnO3,0.69,cubic,1.29,0
IrSrO3,0.55,rhombohedral,0.24,0
IrTaO3,0.69,cubic,1.14,0
IrTbO3,0.63,cubic,1.79,0
IrTcO3,0.72,cubic,1.16,0
IrTeO3,0.66,cubic,1.35,0
IrThO3,0.61,cubic,1.75,0
IrTiO3,0.71,cubic,1.11,0
IrTlO3,0.64,rhombohedral,0.25,0
IrTmO3,0.64,cubic,1.68,0
IrUO3,0.60,cubic,1.26,0
IrVO3,0.72,cubic,1.13,0
IrWO3,0.71,cubic,1.30,0
IrYO3,0.64,cubic,1.77,0
IrYbO3,0.65,rhombohedral,0.38,0
IrZnO3,0.67,cubic,1.62,0
IrZrO3,0.69,cubic,1.31,0
KAcO3,0.86,rhombohedral,0.31,0
KAgO3,0.92,orthorhombic,0.44,0
KAlO3,1.12,cubic,0.41,0
KAsO3,1.13,rhombohedral,0.37,0
KAuO3,0.93,orthorhombic,0.36,0
KBO3,1.30,cubic,1.40,0
KBaO3,0.78,cubic,0.76,0
KBeO3,1.17,cubic,0.92,0
KBiO3,1.00,orthorhombic,0.10,0
KCaO3,0.90,cubic,0.77,0
KCdO3,0.92,cubic,0.62,0
KCeO3,0.92,orthorhombic,0.40,0
KCoO3,1.07,tetragonal,0.25,0
KCrO3,1.15,tetragonal,0.29,0
KCsO3,0.70,cubic,0.90,0
KCuO3,1.04,cubic,0.50,0
KDyO3,0.90,cubic,0.37,0
KErO3,0.94,cubic,0.37,0
KEuO3,0.88,cubic,0.60,0
KFeO3,1.04,tetragonal,0.19,0
KGaO3,1.07,cubic,0.42,0
KGdO3,0.92,cubic,0.38,0
KGeO3,1.07,rhombohedral,0.26,0
KHfO3,1.02,orthorhombic,0.10,0
KHgO3,0.86,cubic,0.53,0
KHoO3,0.94,orthorhombic,0.36,0
KInO3,0.98,cubic,0.45,0
KIrO3,1.10,orthorhombic,0.19,0
KLaO3,0.89,orthorhombic,0.37,0
KLiO3,1.00,cubic,0.95,0
KLuO3,0.96,rhombohedral,0.34,0
KMgO3,1.02,cubic,0.68,0
KMnO3,1.07,tetragonal,0.20,0
KMoO3,1.08,rhombohedral,0.03,0
KNaO3,0.89,cubic,1.11,0
KNbO3,1.06,tetragonal,-0.22,0
KNdO3,0.91,orthorhombic,0.40,0
KNiO3,1.09,cubic,0.51,0
KNpO3,0.96,orthorhombic,-0.14,0
KOsO3,1.10,cubic,0.02,1
KPaO3,0.93,cubic,-0.57,0
KPbO3,0.90,orthorhombic,0.21,0
KPdO3,1.01,tetragonal,0.28,0
KPmO3,0.91,rhombohedral,0.39,0
KPrO3,0.93,orthorhombic,0.40,0
KPtO3,1.04,orthorhombic,0.23,0
KPuO3,0.97,orthorhombic,-0.10,0
KRbO3,0.74,orthorhombic,0.10,0
KReO3,1.09,cubic,0.01,1
KRhO3,1.08,tetragonal,0.19,0
KRuO3,1.10,orthorhombic,0.09,0
KSbO3,1.08,orthorhombic,0.15,0
KScO3,1.01,cubic,0.31,0
KSiO3,1.21,tetragonal,0.31,0
KSmO3,0.91,orthorhombic,0.39,0
KSnO3,1.03,rhombohedral,0.16,0
KSrO3,0.84,cubic,0.81,0
KTaO3,1.06,rhombohedral,-0.38,0
KTbO3,0.96,cubic,0.38,0
KTcO3,1.08,cubic,-0.05,0
KTeO3,1.00,orthorhombic,0.00,1
KThO3,0.92,orthorhombic,0.21,0
KTiO3,1.02,tetragonal,0.15,0
KTlO3,0.83,orthorhombic,0.46,0
KTmO3,0.91,cubic,0.35,0
KUO3,0.96,orthorhombic,-0.07,0
KVO3,1.12,tetragonal,0.10,0
KWO3,1.07,orthorhombic,0.00,1
KYO3,0.94,orthorhombic,0.38,0
KYbO3,0.92,cubic,0.73,0
KZnO3,1.01,cubic,0.61,0
KZrO3,1.02,orthorhombic,0.12,0
LaAcO3,0.78,cubic,1.08,0
LaAgO3,0.91,orthorhombic,0.01,1
LaAlO3,1.01,rhombohedral,-0.07,0
LaAsO3,0.99,orthorhombic,0.24,0
LaAuO3,0.84,cubic,0.53,0
LaBO3,1.18,cubic,0.92,0
LaBaO3,0.71,orthorhombic,0.25,0
LaBeO3,1.06,tetragonal,0.29,0
LaBiO3,0.80,cubic,0.69,0
LaCaO3,0.81,cubic,0.66,0
LaCdO3,0.83,orthorhombic,0.12,0
LaCeO3,0.81,cubic,0.92,0
LaCoO3,0.98,orthorhombic,-0.02,1
LaCrO3,0.97,orthorhombic,-0.07,0
LaCsO3,0.63,tetragonal,0.68,0
LaCuO3,1.01,orthorhombic,0.03,0
LaDyO3,0.85,cubic,0.53,0
LaErO3,0.85,orthorhombic,0.03,0
LaEuO3,0.83,cubic,0.72,0
LaFeO3,0.96,orthorhombic,-0.04,0
LaGaO3,0.97,orthorhombic,-0.03,0
LaGdO3,0.84,cubic,0.60,0
LaGeO3,0.97,rhombohedral,0.30,0
LaHfO3,0.93,orthorhombic,0.18,0
LaHgO3,0.78,orthorhombic,0.09,0
LaHoO3,0.85,orthorhombic,0.03,0
LaInO3,0.89,orthorhombic,0.01,1
LaIrO3,0.94,orthorhombic,0.09,0
LaKO3,0.70,orthorhombic,0.50,0
LaLiO3,0.91,orthorhombic,0.28,0
LaLuO3,0.87,rhombohedral,0.06,0
LaMgO3,0.92,orthorhombic,0.13,0
LaMnO3,0.96,orthorhombic,0.00,1
LaMoO3,0.94,orthorhombic,0.21,0
LaNaO3,0.81,cubic,0.72,0
LaNbO3,0.96,orthorhombic,0.18,0
LaNdO3,0.82,cubic,0.80,0
LaNiO3,0.98,orthorhombic,-0.02,1
LaOsO3,1.00,orthorhombic,0.26,0
LaPaO3,0.85,cubic,0.58,0
LaPbO3,0.90,cubic,0.62,0
LaPdO3,0.97,orthorhombic,0.01,1
LaPmO3,0.83,cubic,0.74,0
LaPrO3,0.82,cubic,0.85,0
LaPtO3,0.95,orthorhombic,0.08,0
LaPuO3,0.88,cubic,0.72,0
LaRbO3,0.67,orthorhombic,0.24,0
LaReO3,0.97,cubic,0.53,0
LaRhO3,0.95,orthorhombic,-0.06,0
LaRuO3,0.94,orthorhombic,0.04,0
LaSbO3,0.91,cubic,0.62,0
LaScO3,0.91,orthorhombic,-0.03,0
LaSiO3,1.09,cubic,0.60,0
LaSmO3,0.83,cubic,0.70,0
LaSnO3,0.94,cubic,0.53,0
LaSrO3,0.76,cubic,1.01,0
LaTaO3,0.96,orthorhombic,0.29,0
LaTbO3,0.84,cubic,0.57,0
LaTcO3,0.98,orthorhombic,0.09,0
LaTeO3,0.83,cubic,0.78,0
LaThO3,0.84,cubic,0.70,0
LaTiO3,0.95,orthorhombic,0.01,1
LaTlO3,0.85,orthorhombic,0.04,0
LaTmO3,0.86,orthorhombic,0.02,1
LaUO3,0.91,cubic,0.71,0
LaVO3,0.96,orthorhombic,-0.08,0
LaWO3,0.95,orthorhombic,0.36,0
LaYO3,0.85,cubic,0.53,0
LaYbO3,0.86,cubic,0.56,0
LaZnO3,0.92,orthorhombic,0.09,0
LaZrO3,0.92,orthorhombic,0.13,0
LiAcO3,0.65,orthorhombic,0.10,0
LiAgO3,0.70,cubic,0.70,0
LiAlO3,0.85,orthorhombic,0.18,0
LiAsO3,0.89,orthorhombic,0.16,0
LiAuO3,0.70,cubic,0.64,0
LiBO3,0.99,cubic,1.01,0
LiBaO3,0.59,cubic,1.20,0
LiBeO3,0.89,cubic,0.80,0
LiBiO3,0.76,orthorhombic,0.04,0
LiCaO3,0.68,cubic,1.10,0
LiCdO3,0.70,cubic,0.89,0
LiCeO3,0.70,orthorhombic,0.15,0
LiCoO3,0.81,orthorhombic,0.22,0
LiCrO3,0.87,orthorhombic,0.23,0
LiCsO3,0.53,cubic,1.31,0
LiCuO3,0.79,cubic,0.55,0
LiDyO3,0.69,cubic,0.72,0
LiErO3,0.72,cubic,0.70,0
LiEuO3,0.67,orthorhombic,0.09,0
LiFeO3,0.83,orthorhombic,0.20,0
LiGaO3,0.81,cubic,0.63,0
LiGdO3,0.70,cubic,0.74,0
LiGeO3,0.81,orthorhombic,0.27,0
LiHfO3,0.78,rhombohedral,0.22,0
LiHgO3,0.65,cubic,0.81,0
LiHoO3,0.71,cubic,0.71,0
LiInO3,0.75,cubic,0.73,0
LiIrO3,0.84,rhombohedral,-0.06,0
LiKO3,0.59,cubic,1.79,0
LiLaO3,0.67,orthorhombic,0.13,0
LiLuO3,0.73,cubic,0.66,0
LiMgO3,0.78,cubic,0.87,0
LiMnO3,0.95,orthorhombic,0.22,0
LiMoO3,0.82,rhombohedral,0.09,0
LiNaO3,0.68,orthorhombic,0.18,0
LiNbO3,0.81,rhombohedral,0.03,0
LiNdO3,0.69,orthorhombic,0.19,0
LiNiO3,0.83,cubic,0.61,0
LiNpO3,0.73,rhombohedral,0.05,0
LiOsO3,0.84,rhombohedral,-0.04,0
LiPaO3,0.71,rhombohedral,-0.31,0
LiPbO3,0.69,cubic,0.53,0
LiPdO3,0.76,cubic,0.56,0
LiPmO3,0.69,cubic,0.77,0
LiPrO3,0.71,orthorhombic,0.15,0
LiPtO3,0.79,cubic,0.50,0
LiPuO3,0.74,orthorhombic,-0.05,0
LiRbO3,0.56,cubic,1.73,0
LiReO3,0.83,rhombohedral,0.07,0
LiRhO3,0.82,orthorhombic,0.05,0
LiRuO3,0.84,rhombohedral,-0.03,0
LiSbO3,0.82,rhombohedral,0.05,0
LiScO3,0.76,cubic,0.59,0
LiSiO3,0.92,orthorhombic,0.33,0
LiSmO3,0.69,cubic,0.76,0
LiSnO3,0.79,orthorhombic,0.24,0
LiSrO3,0.63,cubic,1.23,0
LiTaO3,0.81,rhombohedral,0.02,1
LiTbO3,0.73,cubic,0.73,0
LiTcO3,0.82,rhombohedral,-0.02,1
LiTeO3,0.76,rhombohedral,0.12,0
LiThO3,0.70,cubic,0.63,0
LiTiO3,0.78,orthorhombic,0.22,0
LiTlO3,0.63,cubic,0.76,0
LiTmO3,0.69,cubic,0.69,0
LiUO3,0.76,rhombohedral,0.00,1
LiVO3,0.85,tetragonal,0.07,0
LiWO3,0.81,rhombohedral,0.06,0
LiYO3,0.71,cubic,0.73,0
LiYbO3,0.70,cubic,1.03,0
LiZnO3,0.77,cubic,0.75,0
LiZrO3,0.78,rhombohedral,0.25,0
LuAcO3,0.68,orthorhombic,0.24,0
LuAgO3,0.80,cubic,0.80,0
LuAlO3,0.89,orthorhombic,-0.01,1
LuAsO3,0.87,cubic,0.95,0
LuAuO3,0.74,cubic,0.97,0
LuBO3,1.04,cubic,0.88,0
LuBaO3,0.62,orthorhombic,0.29,0
LuBeO3,0.93,tetragonal,0.35,0
LuBiO3,0.71,cubic,1.34,0
LuCaO3,0.72,cubic,1.28,0
LuCdO3,0.73,cubic,1.02,0
LuCeO3,0.71,cubic,1.59,0
LuCoO3,0.86,orthorhombic,0.04,0
LuCrO3,0.85,orthorhombic,-0.01,1
LuCuO3,0.89,orthorhombic,0.02,1
LuDyO3,0.74,cubic,1.15,0
LuErO3,0.75,cubic,1.07,0
LuEuO3,0.73,orthorhombic,0.23,0
LuFeO3,0.84,orthorhombic,0.00,1
LuGaO3,0.85,orthorhombic,0.03,0
LuGdO3,0.73,cubic,1.24,0
LuGeO3,0.85,cubic,0.74,0
LuHfO3,0.82,cubic,0.70,0
LuHgO3,0.68,cubic,1.14,0
LuHoO3,0.75,cubic,1.11,0
LuInO3,0.78,cubic,0.89,0
LuIrO3,0.83,cubic,0.95,0
LuKO3,0.62,orthorhombic,0.46,0
LuLaO3,0.71,cubic,1.57,0
LuLiO3,0.80,cubic,0.63,0
LuMgO3,0.81,cubic,0.66,0
LuMnO3,0.84,orthorhombic,0.05,0
LuMoO3,0.82,cubic,0.81,0
LuNaO3,0.71,cubic,1.25,0
LuNbO3,0.81,cubic,0.79,0
LuNdO3,0.72,cubic,1.46,0
LuNiO3,0.86,orthorhombic,0.04,0
LuNpO3,0.76,cubic,1.30,0
LuOsO3,0.88,cubic,0.95,0
LuPaO3,0.74,cubic,1.09,0
LuPbO3,0.72,cubic,1.24,0
LuPdO3,0.80,cubic,0.66,0
LuPmO3,0.73,cubic,1.40,0
LuPrO3,0.72,cubic,1.53,0
LuPtO3,0.83,cubic,0.91,0
LuPuO3,0.77,cubic,1.29,0
LuRbO3,0.59,cubic,2.20,0
LuReO3,0.85,cubic,0.98,0
LuRhO3,0.83,cubic,0.72,0
LuRuO3,0.83,cubic,0.77,0
LuSbO3,0.80,cubic,1.17,0
LuScO3,0.80,cubic,0.70,0
LuSiO3,0.96,cubic,0.88,0
LuSmO3,0.73,cubic,1.35,0
LuSnO3,0.82,cubic,1.00,0
LuSrO3,0.67,orthorhombic,0.25,0
LuTaO3,0.81,cubic,0.81,0
LuTbO3,0.74,cubic,1.20,0
LuTcO3,0.86,cubic,0.80,0
LuTeO3,0.79,cubic,1.31,0
LuThO3,0.73,cubic,1.21,0
LuTiO3,0.83,orthorhombic,0.06,0
LuTlO3,0.75,orthorhombic,0.15,0
LuTmO3,0.75,cubic,1.03,0
LuUO3,0.71,cubic,1.23,0
LuVO3,0.84,cubic,0.55,0
LuWO3,0.84,cubic,0.96,0
LuYO3,0.75,cubic,1.16,0
LuYbO3,0.76,cubic,1.14,0
LuZnO3,0.80,cubic,0.59,0
LuZrO3,0.81,cubic,0.79,0
MgAcO3,0.64,orthorhombic,0.20,0
MgAgO3,0.69,cubic,0.81,0
MgAlO3,0.84,orthorhombic,0.25,0
MgAsO3,0.85,cubic,0.65,0
MgAuO3,0.69,cubic,0.82,0
MgBO3,0.98,cubic,1.05,0
MgBaO3,0.59,orthorhombic,0.26,0
MgBeO3,0.88,cubic,0.75,0
MgBiO3,0.70,cubic,0.81,0
MgCaO3,0.67,cubic,1.34,0
MgCdO3,0.69,cubic,1.05,0
MgCeO3,0.71,orthorhombic,0.24,0
MgCoO3,0.84,cubic,0.57,0
MgCrO3,0.83,cubic,0.56,0
MgCsO3,0.53,cubic,1.87,0
MgCuO3,0.78,cubic,0.54,0
MgDyO3,0.68,cubic,1.07,0
MgErO3,0.71,cubic,1.03,0
MgEuO3,0.66,orthorhombic,0.14,0
MgFeO3,0.82,orthorhombic,0.10,0
MgGaO3,0.80,cubic,0.67,0
MgGdO3,0.69,cubic,1.12,0
MgGeO3,0.84,cubic,0.52,0
MgHfO3,0.77,cubic,0.60,0
MgHgO3,0.64,cubic,0.99,0
MgHoO3,0.70,cubic,1.05,0
MgInO3,0.74,cubic,0.92,0
MgIrO3,0.80,cubic,0.80,0
MgKO3,0.58,cubic,2.09,0
MgLaO3,0.67,orthorhombic,0.23,0
MgLiO3,0.75,cubic,1.03,0
MgLuO3,0.72,cubic,0.97,0
MgMnO3,0.84,orthorhombic,0.08,0
MgMoO3,0.79,cubic,0.60,0
MgNaO3,0.67,cubic,1.60,0
MgNbO3,0.78,cubic,0.53,0
MgNdO3,0.68,orthorhombic,0.29,0
MgNiO3,0.86,cubic,0.59,0
MgNpO3,0.72,orthorhombic,0.23,0
MgOsO3,0.82,cubic,0.66,0
MgPaO3,0.70,cubic,0.66,0
MgPbO3,0.74,cubic,0.80,0
MgPdO3,0.80,cubic,0.66,0
MgPmO3,0.68,orthorhombic,0.24,0
MgPrO3,0.72,orthorhombic,0.24,0
MgPtO3,0.78,cubic,0.82,0
MgPuO3,0.73,orthorhombic,0.06,0
MgRbO3,0.55,cubic,2.06,0
MgReO3,0.80,cubic,0.65,0
MgRhO3,0.81,cubic,0.73,0
MgRuO3,0.80,cubic,0.65,0
MgSbO3,0.78,cubic,0.74,0
MgScO3,0.75,cubic,0.81,0
MgSiO3,0.90,orthorhombic,0.21,0
MgSmO3,0.69,orthorhombic,0.23,0
MgSnO3,0.78,cubic,0.63,0
MgSrO3,0.63,cubic,1.61,0
MgTaO3,0.78,cubic,0.51,0
MgTbO3,0.75,cubic,1.09,0
MgTcO3,0.81,cubic,0.60,0
MgTeO3,0.68,cubic,0.83,0
MgThO3,0.69,cubic,1.18,0
MgTiO3,0.81,orthorhombic,0.09,0
MgTlO3,0.62,cubic,1.00,0
MgTmO3,0.69,cubic,1.01,0
MgUO3,0.71,orthorhombic,0.21,0
MgVO3,0.82,cubic,0.50,0
MgWO3,0.79,cubic,0.60,0
MgYO3,0.70,cubic,1.09,0
MgYbO3,0.69,cubic,1.21,0
MgZnO3,0.76,cubic,0.79,0
MgZrO3,0.76,cubic,0.68,0
MnAcO3,0.66,orthorhombic,0.31,0
MnAgO3,0.71,orthorhombic,0.20,0
MnAlO3,0.75,orthorhombic,0.13,0
MnAsO3,0.73,orthorhombic,0.22,0
MnAuO3,0.72,cubic,0.83,0
MnBO3,0.87,cubic,1.05,0
MnBaO3,0.61,orthorhombic,0.26,0
MnBeO3,0.91,cubic,0.77,0
MnBiO3,0.77,orthorhombic,0.20,0
MnCaO3,0.70,rhombohedral,0.26,0
MnCdO3,0.71,orthorhombic,0.33,0
MnCeO3,0.74,orthorhombic,0.32,0
MnCoO3,0.87,cubic,0.61,0
MnCrO3,0.86,cubic,0.51,0
MnCuO3,0.75,cubic,0.63,0
MnDyO3,0.70,cubic,1.14,0
MnErO3,0.73,cubic,1.08,0
MnEuO3,0.68,rhombohedral,0.31,0
MnFeO3,0.84,orthorhombic,0.14,0
MnGaO3,0.83,cubic,0.65,0
MnGdO3,0.71,orthorhombic,0.28,0
MnGeO3,0.87,orthorhombic,0.09,0
MnHfO3,0.79,orthorhombic,0.03,0
MnHgO3,0.66,orthorhombic,0.29,0
MnHoO3,0.73,cubic,1.11,0
MnInO3,0.76,cubic,0.93,0
MnIrO3,0.82,cubic,0.67,0
MnKO3,0.60,orthorhombic,0.12,0
MnLaO3,0.69,orthorhombic,0.29,0
MnLiO3,0.77,cubic,1.04,0
MnLuO3,0.74,cubic,1.01,0
MnMgO3,0.79,cubic,0.95,0
MnMoO3,0.82,orthorhombic,0.19,0
MnNaO3,0.69,orthorhombic,0.26,0
MnNbO3,0.80,orthorhombic,0.13,0
MnNdO3,0.70,orthorhombic,0.31,0
MnNiO3,0.89,cubic,0.70,0
MnNpO3,0.74,cubic,0.88,0
MnOsO3,0.85,cubic,0.52,0
MnPaO3,0.72,rhombohedral,0.01,1
MnPbO3,0.77,orthorhombic,0.15,0
MnPdO3,0.83,cubic,0.70,0
MnPmO3,0.70,orthorhombic,0.30,0
MnPrO3,0.74,orthorhombic,0.32,0
MnPtO3,0.81,cubic,0.77,0
MnPuO3,0.75,orthorhombic,0.09,0
MnRbO3,0.57,cubic,2.17,0
MnReO3,0.82,orthorhombic,0.19,0
MnRhO3,0.84,cubic,0.61,0
MnRuO3,0.83,orthorhombic,0.07,0
MnSbO3,0.84,cubic,0.55,0
MnScO3,0.78,cubic,0.81,0
MnSiO3,0.93,orthorhombic,0.23,0
MnSmO3,0.71,orthorhombic,0.30,0
MnSnO3,0.80,orthorhombic,0.04,0
MnSrO3,0.65,orthorhombic,0.26,0
MnTaO3,0.80,orthorhombic,0.18,0
MnTbO3,0.77,orthorhombic,0.27,0
MnTcO3,0.84,orthorhombic,0.11,0
MnTeO3,0.70,cubic,0.68,0
MnThO3,0.71,cubic,0.99,0
MnTiO3,0.83,orthorhombic,0.06,0
MnTlO3,0.64,rhombohedral,0.10,0
MnTmO3,0.71,cubic,1.05,0
MnUO3,0.73,cubic,0.73,0
MnVO3,0.85,orthorhombic,0.05,0
MnWO3,0.81,rhombohedral,0.26,0
MnYO3,0.73,cubic,1.13,0
MnYbO3,0.71,rhombohedral,0.32,0
MnZnO3,0.78,cubic,0.84,0
MnZrO3,0.79,orthorhombic,0.05,0
MoAcO3,0.60,rhombohedral,0.36,0
MoAgO3,0.69,orthorhombic,0.36,0
MoAlO3,0.76,cubic,0.88,0
MoAsO3,0.75,cubic,1.38,0
MoAuO3,0.65,cubic,2.15,0
MoBO3,0.89,cubic,1.45,0
MoBaO3,0.52,rhombohedral,0.28,0
MoBeO3,0.79,cubic,1.10,0
MoBiO3,0.61,cubic,1.63,0
MoCaO3,0.60,orthorhombic,0.34,0
MoCdO3,0.62,orthorhombic,0.39,0
MoCeO3,0.61,rhombohedral,0.44,0
MoCoO3,0.74,cubic,1.26,0
MoCrO3,0.73,cubic,1.08,0
MoCsO3,0.49,orthorhombic,0.07,0
MoCuO3,0.76,orthorhombic,0.31,0
MoDyO3,0.58,cubic,1.70,0
MoErO3,0.64,cubic,1.64,0
MoEuO3,0.63,orthorhombic,0.37,0
MoFeO3,0.66,cubic,1.26,0
MoGaO3,0.73,cubic,1.11,0
MoGdO3,0.63,cubic,1.79,0
MoGeO3,0.74,cubic,1.07,0
MoHfO3,0.70,cubic,1.06,0
MoHgO3,0.60,cubic,2.27,0
MoHoO3,0.63,cubic,1.67,0
MoInO3,0.67,rhombohedral,0.57,0
MoIrO3,0.71,cubic,1.66,0
MoKO3,0.54,orthorhombic,0.21,0
MoLaO3,0.61,cubic,2.01,0
MoLiO3,0.70,orthorhombic,0.27,0
MoLuO3,0.65,cubic,1.54,0
MoMgO3,0.68,cubic,1.48,0
MoMnO3,0.72,cubic,1.26,0
MoNaO3,0.62,orthorhombic,0.28,0
MoNbO3,0.68,cubic,0.91,0
MoNdO3,0.62,cubic,1.96,0
MoNiO3,0.69,cubic,1.34,0
MoNpO3,0.67,cubic,1.51,0
MoOsO3,0.77,cubic,1.48,0
MoPaO3,0.65,cubic,0.95,0
MoPbO3,0.63,rhombohedral,0.37,0
MoPdO3,0.64,cubic,1.77,0
MoPmO3,0.63,cubic,1.88,0
MoPrO3,0.62,cubic,1.97,0
MoPtO3,0.73,cubic,1.85,0
MoPuO3,0.67,tetragonal,0.86,0
MoRbO3,0.51,orthorhombic,0.18,0
MoReO3,0.71,cubic,1.21,0
MoRhO3,0.71,cubic,1.55,0
MoRuO3,0.70,cubic,1.39,0
MoSbO3,0.72,cubic,1.30,0
MoScO3,0.69,cubic,1.32,0
MoSiO3,0.84,cubic,1.13,0
MoSmO3,0.55,cubic,1.87,0
MoSnO3,0.72,orthorhombic,0.36,0
MoSrO3,0.56,rhombohedral,0.33,0
MoTaO3,0.68,cubic,0.93,0
MoTbO3,0.62,cubic,1.74,0
MoTcO3,0.75,cubic,1.18,0
MoTeO3,0.69,cubic,1.51,0
MoThO3,0.64,cubic,1.59,0
MoTiO3,0.71,cubic,0.91,0
MoTlO3,0.64,orthorhombic,0.20,0
MoTmO3,0.65,cubic,1.60,0
MoUO3,0.61,cubic,1.19,0
MoVO3,0.72,cubic,1.04,0
MoWO3,0.70,cubic,0.94,0
MoYO3,0.64,cubic,1.74,0
MoYbO3,0.65,orthorhombic,0.31,0
MoZnO3,0.68,cubic,1.57,0
MoZrO3,0.70,cubic,1.12,0
NaAcO3,0.78,orthorhombic,0.35,0
NaAgO3,0.84,cubic,0.51,0
NaAlO3,1.02,cubic,0.33,0
NaAsO3,1.07,orthorhombic,0.23,0
NaAuO3,0.85,orthorhombic,0.23,0
NaBO3,1.19,cubic,1.05,0
NaBaO3,0.72,cubic,0.93,0
NaBeO3,1.07,cubic,0.72,0
NaBiO3,0.92,orthorhombic,0.05,0
NaCaO3,0.82,orthorhombic,0.19,0
NaCdO3,0.84,cubic,0.68,0
NaCeO3,0.85,cubic,0.56,0
NaCoO3,0.98,orthorhombic,0.27,0
NaCrO3,1.05,orthorhombic,0.27,0
NaCsO3,0.64,cubic,1.05,0
NaCuO3,0.95,orthorhombic,0.44,0
NaDyO3,0.83,orthorhombic,0.19,0
NaErO3,0.86,rhombohedral,0.43,0
NaEuO3,0.80,orthorhombic,0.13,0
NaFeO3,0.96,cubic,0.18,0
NaGaO3,0.98,orthorhombic,0.47,0
NaGdO3,0.85,cubic,0.51,0
NaGeO3,0.98,cubic,0.25,0
NaHfO3,0.94,orthorhombic,0.09,0
NaHgO3,0.79,cubic,0.59,0
NaHoO3,0.86,orthorhombic,0.19,0
NaInO3,0.90,cubic,0.55,0
NaIrO3,1.01,orthorhombic,0.07,0
